taxon_name,rank,id
Calyptraeoidea,superfamily,52626
Calyptraeidae,family,52627
Crepidula,genus,52628
Crepidula fimbriata,species,211753
Archaeobalanidae,family,1072554
Semibalanus,genus,94629
Semibalanus cariosus,species,261876
Mopalia swanii,species,413429
Phloeodictyidae,family,283401
Calyx,genus,295246
Calyx arcuarius,species,1658070
Sarsia,genus,6078
Sarsia sp. SL-2013,species,1345085
Kappaphycus,genus,38543
Kappaphycus sp. 'Hainan',species,1227380
Ectocarpaceae,family,2878
Ectocarpus,genus,2879
unclassified Ectocarpus,no rank,867790
Ectocarpus sp. 8 AP-2014,species,1535364
Staurozoa,class,1927913
Stauromedusae,order,37528
Myostaurida,suborder,1927915
Haliclystidae,family,1927917
Manania,genus,1843203
Manania gwilliami,species,1843204
Microcionidae,family,27926
Holopsamma,genus,458499
Holopsamma helwigi,species,458500
Crepipatella,genus,211796
Crepipatella lingulata,species,211801
Soranthera,genus,328986
Soranthera ulvoidea,species,328987
Ralfsiales,order,891380
Ralfsiaceae,family,31334
unclassified Ralfsiaceae,no rank,1583081
Ralfsioid sp. 4GWS,species,1583082
Protura,class,29999
Protura,order,1652079
Sinentomata,suborder,566642
Fujientomidae,family,289456
Fujientomon,genus,289457
Fujientomon dicestum,species,289458
environmental samples,no rank,333477
Cyclopoida environmental sample,species,664319
Agonidae,family,30972
Hemitripterinae,subfamily,1545924
Nautichthys,genus,274771
Nautichthys oculofasciatus,species,428032
Plumulariidae,family,308572
